iso3c,species_name,mean_emissions,SEM_emissions
BGD,Penaeus Shrimps Nei,5638.3085557503855,65.47603117066205
CHN,Giant Tiger Prawn,28381.30738619387,329.58383683832574
CHN,Penaeus Shrimps Nei,665774.0743577535,23403.708831503827
ESP,Penaeus Shrimps Nei,13255.823109227473,153.93600376967115
IDN,Banana Prawn,89555.03847090498,1039.9765164378155
IDN,Giant Tiger Prawn,29372.20830671392,991.7609869630899
IND,Giant Tiger Prawn,54576.9038566318,633.7856509237223
IND,Penaeus Shrimps Nei,42999.7532636518,1356.7974173809644
JPY,Kuruma Prawn,9539.070490872886,110.77444070749553
MYS,Giant Tiger Prawn,30954.06513716485,359.460521491445
PHL,Penaeus Shrimps Nei,674.935581373888,7.837829861076877
PNG,Banana Prawn,381.27474949067073,4.4276323538159215
PNG,Giant Tiger Prawn,463.4317560148105,5.381697685089184
SGP,Giant Tiger Prawn,23733.235873558406,275.60713935262334
SGP,Penaeus Shrimps Nei,43798.06261655178,508.6141144530351
THA,Banana Prawn,740680.1704640033,8601.302580244843
THA,Giant Tiger Prawn,218393.8428636856,3460.889767309867
THA,Penaeus Shrimps Nei,930771.6659772214,31594.863906260423
THA,Western King Prawn,4562.117641768639,52.978540277300674
VNM,Giant Tiger Prawn,17492.74788306897,203.13817421081612
